#At time x process y state arr w total z remain y wait k
At time 104 process 5 stopped arr 1 total 4 remain 0 wait 99
At time 105 process 6 resumed arr 1 total 4 remain 1 wait 101
At time 106 process 6 stopped arr 1 total 4 remain 0 wait 101
At time 107 process 7 resumed arr 1 total 4 remain 1 wait 103
At time 108 process 7 finished arr 1 total 4 remain 0 wait 103 TA 107 WTA 26.75
At time 109 process 8 resumed arr 1 total 4 remain 1 wait 105
At time 110 process 8 stopped arr 1 total 4 remain 0 wait 105
At time 111 process 9 resumed arr 1 total 4 remain 1 wait 107
At time 112 process 9 stopped arr 1 total 4 remain 0 wait 107
At time 113 process 10 resumed arr 1 total 4 remain 1 wait 109
At time 114 process 10 stopped arr 1 total 4 remain 0 wait 109
At time 115 process 11 resumed arr 1 total 4 remain 1 wait 111
At time 116 process 11 stopped arr 1 total 4 remain 0 wait 111
At time 117 process 2 resumed arr 1 total 4 remain 2 wait 114
At time 118 process 2 stopped arr 1 total 4 remain 1 wait 114
At time 119 process 12 resumed arr 1 total 4 remain 1 wait 115
At time 120 process 12 stopped arr 1 total 4 remain 0 wait 115
At time 121 process 13 resumed arr 1 total 4 remain 1 wait 117
At time 122 process 13 stopped arr 1 total 4 remain 0 wait 117
At time 123 process 14 resumed arr 1 total 4 remain 1 wait 119
At time 124 process 14 stopped arr 1 total 4 remain 0 wait 119
At time 124 process 14 stopped arr 1 total 4 remain 0 wait 119
At time 124 process 14 finished arr 1 total 4 remain 0 wait 119 TA 123 WTA 30.75
At time 125 process 15 resumed arr 1 total 4 remain 1 wait 121
At time 126 process 16 resumed arr 1 total 4 remain 1 wait 122
At time 127 process 16 stopped arr 1 total 4 remain 0 wait 122
